run,label,update,compute_units,query_hops,inference_loops,accuracy,n,source
v2-fixed4-s20260913,Fixed 4 training,1200,1442955264,8,4,0.2890625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1200.json
v2-fixed4-s20260913,Fixed 4 training,1200,1442955264,8,6,0.4296875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1200.json
v2-fixed4-s20260913,Fixed 4 training,1200,1442955264,8,8,0.2890625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1200.json
v2-fixed4-s20260913,Fixed 4 training,1400,1683800064,4,4,1.0,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1400.json
v2-fixed4-s20260913,Fixed 4 training,1400,1683800064,4,6,0.171875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1400.json
v2-fixed4-s20260913,Fixed 4 training,1400,1683800064,4,8,0.171875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1400.json
v2-fixed4-s20260913,Fixed 4 training,1400,1683800064,6,4,0.984375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1400.json
v2-fixed4-s20260913,Fixed 4 training,1400,1683800064,6,6,0.109375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1400.json
v2-fixed4-s20260913,Fixed 4 training,1400,1683800064,6,8,0.109375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1400.json
v2-fixed4-s20260913,Fixed 4 training,1400,1683800064,8,4,0.875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1400.json
v2-fixed4-s20260913,Fixed 4 training,1400,1683800064,8,6,0.09375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1400.json
v2-fixed4-s20260913,Fixed 4 training,1400,1683800064,8,8,0.1015625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1400.json
v2-fixed4-s20260913,Fixed 4 training,1600,1924079616,4,4,1.0,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1600.json
v2-fixed4-s20260913,Fixed 4 training,1600,1924079616,4,6,0.2265625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1600.json
v2-fixed4-s20260913,Fixed 4 training,1600,1924079616,4,8,0.1875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1600.json
