kind,endpoint,arm,update,compute_units,group,loops,training_depth,difficulty,accuracy,correct,n,loss,source
training_loss,,control,168,214695936,,,4,1,,,,4.6938646391936345e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,169,215973888,,,4,8,,,,0.13021921506151557,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,170,217251840,,,4,2,,,,4.023312527579037e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,171,218529792,,,4,6,,,,0.022099608337157406,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,172,219807744,,,4,3,,,,1.423058108684927e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,173,221085696,,,4,1,,,,2.9802316703353426e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,174,222363648,,,4,4,,,,4.1648625028756214e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,175,223641600,,,4,6,,,,0.00011463536429801024,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,176,224919552,,,4,1,,,,3.948806863718346e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,177,226197504,,,4,4,,,,7.1301178650173824e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,178,227475456,,,4,2,,,,3.5762778338721546e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,179,228753408,,,4,3,,,,1.035629964007967e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,180,230031360,,,4,8,,,,0.3223598450422287,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,181,231309312,,,4,6,,,,0.0610480251343688,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,182,232587264,,,4,3,,,,2.101059067172173e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,183,233865216,,,4,2,,,,1.6465662184828034e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,184,235143168,,,4,4,,,,5.282437314235722e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,185,236421120,,,4,8,,,,0.22527939535211772,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,186,237699072,,,4,1,,,,3.054737476304581e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,187,238977024,,,4,8,,,,0.053791921585798264,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,188,240254976,,,4,4,,,,6.4074502006405964e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,189,241532928,,,4,2,,,,5.289910518513352e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,190,242810880,,,4,1,,,,4.4703470791773725e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,191,244088832,,,4,3,,,,1.5273659244030569e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,192,245366784,,,4,6,,,,0.00015213105871225707,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,193,246644736,,,4,6,,,,0.00030556387537217233,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,194,247922688,,,4,1,,,,3.576278118089249e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,195,249200640,,,4,3,,,,9.387726436216326e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,196,250478592,,,4,8,,,,0.11007378995418549,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,197,251756544,,,4,4,,,,3.650774942798307e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,198,253034496,,,4,2,,,,4.246829945486752e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,199,254312448,,,4,6,,,,0.01662561541888863,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,200,255590400,,,4,2,,,,4.4703472212859197e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,201,256868352,,,4,3,,,,1.1399378081478062e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,202,258146304,,,4,4,,,,3.6880277320960886e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,203,259424256,,,4,1,,,,3.2037489461345103e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,204,260702208,,,4,8,,,,0.08363958075642586,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,205,261980160,,,4,3,,,,8.791681125330797e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,206,263258112,,,4,8,,,,0.2863750122487545,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,207,264536064,,,4,6,,,,0.0008924065041355789,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,208,265814016,,,4,1,,,,3.352760700181534e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,209,267091968,,,4,2,,,,3.874301199857655e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,210,268369920,,,4,4,,,,4.105257858100231e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,211,269647872,,,4,3,,,,1.8179356402470148e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,212,270925824,,,4,2,,,,3.7252897300277255e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,213,272203776,,,4,1,,,,4.172324281626061e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
